elapsedTime;nombre;et_x;et_y;et_z;et_pixel_uv_x;et_pixel_uv_y;head_pose_x;head_pose_y;head_pose_z;head_euler_x;head_euler_y;head_euler_z;head_quat_xyzw;Eye_Right_Blink;Eye_Left_Blink
21.4420;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8114;-1.8381;0.1830451;0.138587;-0.4282;1.6222;-1.2959;9.4096;269.1422;1.0810;(.0509, -.7105, .0650, .6988);0.0000;0.0000
21.4650;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8095;-1.8427;0.180304;0.1374151;-0.4281;1.6223;-1.2960;9.4063;269.1268;1.1056;(.0507, -.7106, .0652, .6987);0.0000;0.0000
21.4860;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8160;-1.8462;0.1781995;0.1413352;-0.4281;1.6222;-1.2961;9.3691;269.1018;1.0464;(.0508, -.7107, .0646, .6986);0.0000;0.0000
21.5100;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8247;-1.8514;0.1750723;0.146536;-0.4280;1.6223;-1.2961;9.3204;269.0886;1.0518;(.0505, -.7108, .0643, .6986);0.0000;0.0000
21.5340;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8209;-1.8501;0.1758449;0.1442528;-0.4278;1.6224;-1.2960;9.2710;269.0915;1.0812;(.0500, -.7109, .0642, .6986);0.0000;0.0000
21.5530;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8328;-1.8426;0.1803585;0.151361;-0.4277;1.6224;-1.2960;9.2678;269.1089;1.1127;(.0498, -.7108, .0644, .6987);0.0000;0.0000
21.5750;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8317;-1.8418;0.1808269;0.1507528;-0.4277;1.6225;-1.2960;9.2579;269.1149;1.0910;(.0499, -.7107, .0642, .6988);0.0000;0.0000
21.5980;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8341;-1.8432;0.180021;0.1521444;-0.4276;1.6224;-1.2959;9.2155;269.1528;1.0632;(.0498, -.7105, .0637, .6990);0.0000;0.0000
21.6180;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8340;-1.8389;0.182597;0.1521342;-0.4276;1.6225;-1.2958;9.2115;269.1568;1.0558;(.0498, -.7105, .0636, .6991);0.0000;0.0000
21.6410;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8361;-1.8377;0.183269;0.1533436;-0.4276;1.6225;-1.2957;9.2039;269.1965;1.0133;(.0501, -.7102, .0633, .6993);0.0000;0.0000
21.6640;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.1912;-1.6601;0.2897479;0.3662437;-0.4276;1.6225;-1.2957;9.1859;269.2178;0.9786;(.0502, -.7101, .0630, .6995);0.0000;0.0000
21.6860;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.4575;-1.5325;0.3662583;0.5259523;-0.4275;1.6225;-1.2957;9.2052;269.2172;0.9772;(.0503, -.7101, .0631, .6995);0.0000;0.0000
21.7080;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.4402;-1.5156;0.3763835;0.5155591;-0.4273;1.6226;-1.2956;9.1958;269.2167;0.9953;(.0501, -.7101, .0631, .6995);0.0000;0.0000
21.7310;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.4363;-1.5061;0.3821321;0.5132089;-0.4273;1.6227;-1.2956;9.1611;269.2210;1.0260;(.0497, -.7101, .0631, .6995);0.0000;0.0000
21.7520;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.4593;-1.5122;0.3784199;0.5270332;-0.4272;1.6227;-1.2955;9.0852;269.2135;1.0206;(.0493, -.7102, .0626, .6995);0.0000;0.0000
