elapsedTime;nombre;et_x;et_y;deep
1.5500;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;258.46;430.06;3.21;
1.5720;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;258.84;429.77;3.21;
1.5930;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;259.04;429.11;3.21;
1.6160;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;259.70;429.02;3.22;
1.6380;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;259.90;428.64;3.22;
1.6610;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;260.27;428.45;3.22;
1.6820;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;260.64;428.13;3.22;
1.7050;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;260.93;428.06;3.22;
1.7270;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;261.33;427.93;3.22;
1.7490;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;261.53;428.29;3.22;
1.7720;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;261.39;428.43;3.22;
1.7940;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;261.24;428.62;3.22;
1.8160;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;261.02;428.61;3.22;
1.8390;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;260.64;428.13;3.22;
1.8610;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;259.93;427.56;3.22;
1.8830;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;259.53;427.19;3.22;
1.9050;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;259.53;427.16;3.22;
1.9270;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;259.07;426.99;3.21;
1.9490;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;258.75;426.87;3.21;
1.9710;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;258.21;426.88;3.21;
1.9930;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;257.57;427.16;3.21;
2.0150;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;257.29;427.52;3.21;
2.0380;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;256.83;427.50;3.21;
2.0590;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;256.57;427.77;3.21;
2.0830;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;256.40;427.85;3.21;
2.1040;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;256.40;427.77;3.21;
2.1270;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;255.94;427.78;3.21;
2.1490;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;255.85;427.59;3.21;
2.1720;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;255.77;427.64;3.21;
2.1930;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;255.42;427.55;3.21;
2.2160;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;255.13;427.76;3.21;
2.2380;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;255.08;427.87;3.21;
2.2600;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;255.31;427.65;3.21;
