elapsedTime;nombre;et_x;et_y;deep
1.6930;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;275.21;454.62;3.23;
1.7170;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;294.30;459.04;3.25;
1.7380;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;333.69;457.06;3.29;
1.7600;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;326.74;451.95;3.29;
1.7840;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;343.68;459.71;3.31;
1.8050;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;366.48;464.45;3.33;
1.8280;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;370.88;465.27;3.34;
1.8500;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;370.56;465.93;3.34;
1.8720;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;369.78;466.90;3.33;
1.8940;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;367.92;465.67;3.33;
1.9160;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;370.34;466.83;3.34;
1.9380;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;390.88;472.95;3.36;
1.9600;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;409.05;465.42;3.38;
1.9820;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;409.00;464.74;3.38;
