elapsedTime;nombre;et_x;et_y;et_z;et_pixel_uv_x;et_pixel_uv_y;head_pose_x;head_pose_y;head_pose_z;head_euler_x;head_euler_y;head_euler_z
2.8820;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3499;-1.3296;0.487931;0.4614317;-0.4114;1.6282;-1.2984;6.2088;269.3023;0.8367
2.9050;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3513;-1.3279;0.4889345;0.4622796;-0.4115;1.6283;-1.2985;6.1808;269.3420;0.8126
2.9270;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3513;-1.3283;0.4886956;0.4622431;-0.4113;1.6283;-1.2986;6.1813;269.3352;0.7562
2.9510;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3496;-1.3299;0.4877669;0.461214;-0.4113;1.6283;-1.2987;6.2199;269.3021;0.7928
2.9720;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3486;-1.3304;0.4874605;0.4606174;-0.4112;1.6283;-1.2988;6.2409;269.2925;0.8308
2.9940;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3495;-1.3322;0.4863683;0.46119;-0.4113;1.6283;-1.2990;6.2191;269.2554;0.8606
3.0170;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3518;-1.3332;0.4857653;0.4625372;-0.4113;1.6283;-1.2990;6.1705;269.2349;0.8986
3.0390;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3531;-1.3345;0.4849842;0.4633325;-0.4113;1.6284;-1.2991;6.1422;269.2074;0.9415
3.0610;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3512;-1.3368;0.4836324;0.4621813;-0.4113;1.6283;-1.2991;6.1839;269.1572;0.9747
3.0840;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3477;-1.3373;0.4832967;0.4601256;-0.4113;1.6283;-1.2991;6.2583;269.1448;0.9603
3.1060;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3484;-1.3380;0.4828641;0.4605403;-0.4113;1.6284;-1.2991;6.2448;269.1268;0.9477
3.1290;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3499;-1.3376;0.4831561;0.4614216;-0.4114;1.6283;-1.2990;6.2120;269.1370;0.8938
3.1520;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3511;-1.3370;0.4834704;0.4621276;-0.4115;1.6284;-1.2989;6.1868;269.1454;0.8680
3.1730;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3493;-1.3360;0.4841048;0.4610431;-0.4115;1.6284;-1.2987;6.2273;269.1648;0.8726
3.1950;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3494;-1.3363;0.4839305;0.4610971;-0.4115;1.6283;-1.2985;6.2243;269.1547;0.8950
